t,y(t)
0,1
0.5,1
1,0.9387912809451864
1.5,0.7395467934066631
2,0.405141997537183
2.5,-0.005502419504979705
3,-0.40332301752595673
3.5,-0.6966577570632011
4,-0.8165572221769988
4.5,-0.7351004215203054
5,-0.4729481104755425
